정당,등록시 정당명,대표자,등록연월일,말소연월일,사유,존속기간,비고,위키피디아,네이버 기관단체,한국민족문화대백과사전,나무위키,두산백과
중도통합신당,통합신당,최동림,2007.5.9,2008.3.25,등록취소 (성립요건 흠결),11월,,,,,,
중도개혁통합신당,,김한길,2007.5.9,2007.6.29,민주당 신설합당,2월,신설합당(중도통합민주당),,,,,
신미래당,,김호일,2007.5.30,2008.4.15,등록취소 (선거참여 득표미달),11월,,,,,,
바른한국당,,강승규,2007.6.29,2008.1.31,자진해산,7월,,,,,,
중도통합민주당,통합민주당,"박상천, 金한길",2007.6.29,2008.2.18,통합민주당으로 신설합당,8월,명칭변경 (중도통합민주당 → 중도통합민주당),,,,,
국제녹색당,,"이래원, 정재복",2007.8.8,,,,,,,,,
대통합민주신당,,오충일,2007.8.8,2008.2.18,통합민주당으로 신설합당,6월,,,,,,
통일한국당,,안광양,2007.8.8,2008.4.15,등록취소 (선거참여 득표미달),8월,,,,,,
평화통일가정당,,곽정환,2007.9.7,2008.4.15,등록취소 (선거참여 득표미달),7월,,,,,,
참주인연합,,김선미,2007.10.2,2012.2.6,한나라당에 흡수합당,4년4월,명칭변경 (참주인연합 → 미래한국당 → 친박연대 → 미래희망연대),,,,,
경제공화당,공화당,허경영,2007.10.29,2011.10.30,등록취소 (선거 미참여),4년,명칭변경 (경제공화당 → 민주공화당),,,,,
창조한국당,,"문국현, 이정자, 이용경",2007.11.7,2012.4.12,등록취소 (선거참여 득표미달),4년5월,,,,,,
평화통일당,,조왈벽,2007.11.7,2010.11.1,자진해산,3년,,,,,,
국민선택,,장성민,2007.11.19,2008.2.18,자진해산,3월,,,,,,
화합과도약을위한국민연대,,이수성,2007.11.19,2009.3.17,자진해산,1년4월,,,,,,
국민실향안보당,실향안보당,이건개,2007.11.25,2008.4.15,등록취소 (선거참여 득표미달),5월,,,,,,
직능소상공인연합,직능연합당,오호석,2007.11.25,2008.4.15,등록취소 (선거참여 득표미달),5월,,,,,,
경제통일당,경제당,안동옥,2008.1.15,2012.1.16,등록취소 (선거 미참여),4년,,,,,,
자유선진당,선진당,이회창,2008.2.4,2011.10.17,국민중심연합과 신설합당,3년8월,,,,,,
통합민주당,민주당,손학규,2008.2.18,2011.12.23,시민통합당과 민주통합당으로 신설합당,3년10월,명칭변경 (통합민주당 → 민주당),,,,,
문화예술당,,김원용,2008.2.27,2008.4.15,등록취소 (선거참여 득표미달),2월,,,,,,
진보신당,,이덕우,2008.3.17,2012.4.12,등록취소 (선거참여 득표미달),4년1월,,,,,,
사회당,,최광은,2008.8.11,2012.3.14,진보신당에 흡수합당,3년7월,,,,,,
한국문화예술당,,김남훈,2008.10.20,2012.4.12,등록취소 (선거참여 득표미달),3년6월,명칭변경 문화연합당 → 예술당 → 한국문화예술당,,,,,
통일당,,안광양,2008.10.29,2012.4.12,등록취소 (선거참여 득표미달),3년5월,명칭변경 (통일당 → 민주통일당),,,,,
국민참여당,참여당,이재정,2010.1.29,2011.12.13,통합진보당으로 신설합당,1년11월,,,,,,
국민중심연합,국민련,심대평,2010.4.1,2011.10.17,자유선진당과 신설합당,1년7월,,,,,,
평화민주당,평민당,한화갑,2010.4.19,2012.2.14,국민행복당에 흡수합당,1년10월,,,,,,
미래연합,,이규택,2010.4.27,2012.4.12,등록취소 (선거참여 득표미달),2년,,,,,,
건국당,,정재복,2010.4.27,2011.6.28,평화민주당으로 흡수합당,1년2월,,,,,,
한국기독당,,정훈,2011.8.8,2012.4.12,등록취소 (선거참여 득표미달),8월,,,,,,
기독자유민주당,기민당,김충립,2011.9.26,2012.4.12,등록취소 (선거참여 득표미달),7월,약칭변경(기민당 → 기독당),,,,,
자유선진당,,심대평,2011.10.17,2012.11.16,새누리당에 흡수합당,1년1월,명칭변경(자유선진당 -> 선진통일당),,,,,
새희망 노인권익연대,노인연대,윤영오,2011.10.25,2012.4.12,등록취소 (선거참여 득표미달),6월,명칭변경 (새희망노인권익연대 →대국민중심당 → 가자!대국민중심당),,,,,
통합진보당,,이정희,2011.12.13,2014.12.19,,,,https://ko.wikipedia.org/wiki/%ED%86%B5%ED%95%A9%EC%A7%84%EB%B3%B4%EB%8B%B9,,,,
국민행복당,,허평환,2011.12.13,2012.4.12,등록취소 (선거참여 득표미달),4월,,,,,,
시민통합당,,이용선,2011.12.13,2011.12.23,민주통합당으로 신설합당,10일,,,,,,
민주통합당,민주당,"원혜영, 이용선",2011.12.23,2014.3.27,새정치민주연합 흡수합당,2년3월,,,,,,
새마을당,,김기찬,2012.2.13,,,,,,,,,
경제백성당,경제당,안동옥,2012.2.27,,,,명칭변경(경제백성당 → 경제민주당)약칭변경(경제당 → 백성당),,,,,
국민생각,,박세일,2012.2.27,2012.4.12,등록취소 (선거참여 득표미달),2월,,,,,,
대한국당,,봉태홍,2012.3.13,2012.4.12,등록취소 (선거참여 득표미달),30일,,,,,,
제3신당,,문선홍,2012.3.13,2012.3.21,정통민주당 흡수합당,8일,,,,,,
녹색당,,이현주,2012.3.15,2012.4.12,등록취소(선거참여 득표미달),28일,,,,,,
국민의 힘,,김호일,2012.3.15,2012.4.12,등록취소(선거참여 득표미달),28일,,,,,,
불교정도화합 통일연합당,불교연합당,이재열,2012.3.15,2012.4.12,등록취소(선거참여 득표미달),28일,,,,,,
녹색통일당,,장기표,2012.3.15,2012.4.12,등록취소(선거참여 득표미달),28일,명칭변경 (녹색통일당 → 정통민주당),,,,,
청년당,,"강선희, 권완수",2012.3.19,2012.4.12,등록취소 (선거참여 득표미달),24일,,,,,,
국가세계통일연대,,김선일,2012.7.16,,,,명칭변경(국가세계통일연대 → 대한민국당),,,,,
진보신당연대회의,,홍세화,2012.10.22,,,,명칭변경(진보신당연대회의 → 노동당),,,,,
녹색당더하기,,"하승수, 이현주",2012.10.22,,,,명칭변경(녹색당더하기 → 녹색당),,,,,
진보정의당,,"노회찬, 조준호",2012.10.31,,,,명칭변경(진보정의당 → 정의당),,,,,
희망한나라당,,이은영,2012.11.13,,,,명칭변경(희망한나라당 → 새정치국민의당 → 개혁국민신당),,,,,
가인친환경당,,"정재복, 류승구",2012.11.13,,,,명칭변경 (가인친환경당 → 겨레자유평화통일당),,,,,
그린불교연합당,,이재열,2012.12.11,,,,,,,,,
새한나라당 ,새나라당,이태희,2013.4.15,,,,명칭변경 (새한나라당 → 한나라당),,,,,
새정치민주연합 ,새정치연합,"김한길, 안철수",2014.3.26,,,,명칭변경 (새정치민주연합 → 더불어민주당),,,,,
기독민주당,기독당,박두식,2014.4.29,,,,,,,,,
공화당,,신동욱,2014.5.14,,,,,,,,,
민주당,,강신성,2014.9.25,,,,,,,,,
고용복지연금선진화연대,고복연,주명룡,2015.3.16,,,,,,,,,
한국국민당,,윤영오,2015.8.4,,,,,,,,,
애국당,,최인식,2015.12.2,,,,,,,,,
국민의당,,"안철수, 천정배",2016.2.5,,,,,,,,,
국민회의,,나상기,2016.2.5,,,,,,,,,
한누리평화통일당,,김호일,2016.2.15,,,,명칭변경 (한누리평화통일당 → 친반평화통일당),,,,,
진리대한당,,이석인,2016.2.15,,,,,,,,,
복지국가당,,이상이,2016.2.15,,,,,,,,,
민중연합당,,"이광석, 강승철, 손솔",2016.3.7,,,,,,,,,
기독자유당,,손영구,2016.3.16,,,,,,,,,
한반도미래연합,,김정선,2016.3.21,,,,,,,,,
친반통일당,,이문용,2016.3.21,,,,,,,,,
일제강제동원피해자·일본군위안부인권정당,,최용상,2016.3.21,,,,명칭변경 (일제강제동원피해자·일본군위안부인권정당 → 강제동원일제피해·일본군위안부인권정당),,,,,
